id,chapter,type,prompt,options,maps
A23,Arousal (SES/SIS),likert7,"If we have not aligned ground rules, I hold back.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A24,Arousal (SES/SIS),likert7,"If aftercare will not be possible, I hesitate to go far.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
B1a,Preferences (Directional),chooseYMN,"Sensory massage/touch (on me)","Y=Yes,M=Maybe,N=No","{""facet"":""SENSUAL"",""direction"":""on_me""}"
B1b,Preferences (Directional),chooseYMN,"Sensory massage/touch (I do)","Y=Yes,M=Maybe,N=No","{""facet"":""SENSUAL"",""direction"":""i_do""}"
B2a,Preferences (Directional),chooseYMN,"Kissing/romance focus (on me)","Y=Yes,M=Maybe,N=No","{""facet"":""ROMANTIC"",""direction"":""on_me""}"
B2b,Preferences (Directional),chooseYMN,"Kissing/romance focus (I do)","Y=Yes,M=Maybe,N=No","{""facet"":""ROMANTIC"",""direction"":""i_do""}"
B3a,Preferences (Directional),chooseYMN,"Restraint (I am restrained)","Y=Yes,M=Maybe,N=No","{""facet"":""BONDAGE"",""direction"":""on_me""}"
B3b,Preferences (Directional),chooseYMN,"Restraint (I restrain partner)","Y=Yes,M=Maybe,N=No","{""facet"":""BONDAGE"",""direction"":""i_do""}"
B4a,Preferences (Directional),chooseYMN,"Impact (I receive strikes)","Y=Yes,M=Maybe,N=No","{""facet"":""IMPACT"",""direction"":""on_me""}"
B4b,Preferences (Directional),chooseYMN,"Impact (I deliver strikes)","Y=Yes,M=Maybe,N=No","{""facet"":""IMPACT"",""direction"":""i_do""}"
B5a,Preferences (Directional),chooseYMN,"Edging (my orgasm controlled)","Y=Yes,M=Maybe,N=No","{""facet"":""ROLEPLAY"",""direction"":""on_me""}"
B5b,Preferences (Directional),chooseYMN,"Edging (I control partner's orgasm)","Y=Yes,M=Maybe,N=No","{""facet"":""ROLEPLAY"",""direction"":""i_do""}"
B6a,Preferences (Directional),chooseYMN,"Protocol/titles (I follow rules/titles)","Y=Yes,M=Maybe,N=No","{""facet"":""ROLEPLAY"",""direction"":""on_me""}"
B6b,Preferences (Directional),chooseYMN,"Protocol/titles (I lead rules/titles)","Y=Yes,M=Maybe,N=No","{""facet"":""ROLEPLAY"",""direction"":""i_do""}"
B7a,Preferences (Directional),chooseYMN,"Hair pulling (my hair pulled)","Y=Yes,M=Maybe,N=No","{""facet"":""IMPACT"",""direction"":""on_me""}"
B7b,Preferences (Directional),chooseYMN,"Hair pulling (I pull partner's hair)","Y=Yes,M=Maybe,N=No","{""facet"":""IMPACT"",""direction"":""i_do""}"
B8a,Preferences (Directional),chooseYMN,"Toys used on me","Y=Yes,M=Maybe,N=No","{""facet"":""TOYS"",""direction"":""on_me""}"
B8b,Preferences (Directional),chooseYMN,"I use toys on my partner","Y=Yes,M=Maybe,N=No","{""facet"":""TOYS"",""direction"":""i_do""}"
B9a,Preferences (Directional),chooseYMN,"Being observed (observation-only on me)","Y=Yes,M=Maybe,N=No","{""facet"":""VISUAL"",""direction"":""on_me""}"
B9b,Preferences (Directional),chooseYMN,"Observing my partner (I watch them)","Y=Yes,M=Maybe,N=No","{""facet"":""VISUAL"",""direction"":""i_do""}"
B10a,Preferences (Directional),chooseYMN,"Showing off (I am on display in private)","Y=Yes,M=Maybe,N=No","{""facet"":""VISUAL"",""direction"":""on_me""}"
B10b,Preferences (Directional),chooseYMN,"Staging visuals (I position/pose partner)","Y=Yes,M=Maybe,N=No","{""facet"":""VISUAL"",""direction"":""i_do""}"
B11a,Preferences (Directional),chooseYMN,"Novel scenarios (new places/props) on me","Y=Yes,M=Maybe,N=No","{""facet"":""NOVELTY"",""direction"":""on_me""}"
B11b,Preferences (Directional),chooseYMN,"I set up novel scenarios for partner","Y=Yes,M=Maybe,N=No","{""facet"":""NOVELTY"",""direction"":""i_do""}"
B12a,Preferences (Directional),chooseYMN,"Dirty talk said to me","Y=Yes,M=Maybe,N=No","{""facet"":""ROLEPLAY"",""direction"":""on_me""}"
B12b,Preferences (Directional),chooseYMN,"I direct dirty talk to my partner","Y=Yes,M=Maybe,N=No","{""facet"":""ROLEPLAY"",""direction"":""i_do""}"
B13a,Preferences (Directional),chooseYMN,"Watersports (on me) — private settings only","Y=Yes,M=Maybe,N=No","{""facet"":""NOVELTY"",""direction"":""on_me"",""tag"":""EXPLICIT_FLUIDS""}"
B13b,Preferences (Directional),chooseYMN,"Watersports (I do) — private settings only","Y=Yes,M=Maybe,N=No","{""facet"":""NOVELTY"",""direction"":""i_do"",""tag"":""EXPLICIT_FLUIDS""}"
B14a,Preferences (Directional),chooseYMN,"Anal stimulation (fingers/toys) on me","Y=Yes,M=Maybe,N=No","{""facet"":""TOYS"",""direction"":""on_me"",""tag"":""ANAL_STIM""}"
B14b,Preferences (Directional),chooseYMN,"Anal stimulation (I do)","Y=Yes,M=Maybe,N=No","{""facet"":""TOYS"",""direction"":""i_do"",""tag"":""ANAL_STIM""}"
B15a,Preferences (Directional),chooseYMN,"Rimming (on me)","Y=Yes,M=Maybe,N=No","{""facet"":""TOYS"",""direction"":""on_me"",""tag"":""RIMMING""}"
B15b,Preferences (Directional),chooseYMN,"Rimming (I do)","Y=Yes,M=Maybe,N=No","{""facet"":""TOYS"",""direction"":""i_do"",""tag"":""RIMMING""}"
B16a,Preferences (Directional),chooseYMN,"Pegging (on me)","Y=Yes,M=Maybe,N=No","{""facet"":""TOYS"",""direction"":""on_me"",""tag"":""PEGGING""}"
B16b,Preferences (Directional),chooseYMN,"Pegging (I do)","Y=Yes,M=Maybe,N=No","{""facet"":""TOYS"",""direction"":""i_do"",""tag"":""PEGGING""}"
B17a,Preferences (Directional),chooseYMN,"Foot worship (on me)","Y=Yes,M=Maybe,N=No","{""facet"":""SENSUAL"",""direction"":""on_me"",""tag"":""FOOT""}"
B17b,Preferences (Directional),chooseYMN,"Foot worship (I do)","Y=Yes,M=Maybe,N=No","{""facet"":""SENSUAL"",""direction"":""i_do"",""tag"":""FOOT""}"
C1,Boundaries & Safety,number,"Maximum impact intensity you are comfortable with right now (0–100).","0..100","{""boundary"":""impact_cap""}"
C3,Boundaries & Safety,yn,"Barrier protection for genital contact is required.","Y/N","{""boundary"":""genital_barrier""}"
C4,Boundaries & Safety,yn,"Recording/photos are allowed for private use (never shared).","Y/N","{""boundary"":""recording_allowed""}"
C5,Boundaries & Safety,yn,"Aftercare/debrief is required after scenes.","Y/N","{""pref"":""aftercare_required""}"
C7,Boundaries & Safety,yn,"Use a safeword system for this session.","Y/N","{""safety"":""safeword""}"
C9,Boundaries & Safety,yn,"In-scene check-ins (e.g., color system) are required.","Y/N","{""safety"":""checkins""}"
C10,Boundaries & Safety,text,"Hard NOs / red lines (comma-separated).","free text","{""boundary"":""red_lines""}"
D1,Structure & Logistics,likert7,"I enjoy giving clear direction during scenes.","1=Strongly disagree ... 7=Strongly agree","{""domain"":""STRUCTURE""}"
D2,Structure & Logistics,likert7,"I enjoy following clear direction during scenes.","1=Strongly disagree ... 7=Strongly agree","{""domain"":""STRUCTURE""}"
D3,Structure & Logistics,likert7,"I prefer simple signals/agreements before scenes (e.g., yes/no lists).","1=Strongly disagree ... 7=Strongly agree","{""domain"":""STRUCTURE""}"
D4,Structure & Logistics,likert7,"I enjoy having titles, roles, or protocol during scenes.","1=Strongly disagree ... 7=Strongly agree","{""domain"":""STRUCTURE""}"
D5,Structure & Logistics,likert7,"I like a brief ritual to open/close scenes.","1=Strongly disagree ... 7=Strongly agree","{""domain"":""STRUCTURE""}"
