id,chapter,type,prompt,options,maps
B25b,Display & Performance,chooseYMN,"Watching partner during solo pleasure (I watch).","Y=Yes,M=Maybe,N=No","{""category"":""display_performance"",""activity"":""watching_solo_pleasure"",""direction"":""i_do"",""facet"":""VOYEUR""}"
B26,Display & Performance,chooseYMN,"Posing or being positioned for viewing.","Y=Yes,M=Maybe,N=No","{""category"":""display_performance"",""activity"":""posing_self"",""facet"":""EXHIBITION""}"
B27,Display & Performance,chooseYMN,"Dancing sensually.","Y=Yes,M=Maybe,N=No","{""category"":""display_performance"",""activity"":""dancing_self"",""facet"":""EXHIBITION""}"
B28,Display & Performance,chooseYMN,"Wearing revealing or fantasy clothing/lingerie.","Y=Yes,M=Maybe,N=No","{""category"":""display_performance"",""activity"":""revealing_clothing_self"",""facet"":""EXHIBITION""}"
B29,Truth Topics,chooseYMN,"Past sexual or romantic experiences.","Y=Yes,M=Maybe,N=No","{""category"":""truth_topics"",""topic"":""past_experiences""}"
B30,Truth Topics,chooseYMN,"Current fantasies or desires.","Y=Yes,M=Maybe,N=No","{""category"":""truth_topics"",""topic"":""fantasies"",""facet"":""ROMANTIC""}"
B31,Truth Topics,chooseYMN,"Turn-ons and attractions.","Y=Yes,M=Maybe,N=No","{""category"":""truth_topics"",""topic"":""turn_ons""}"
B32,Truth Topics,chooseYMN,"Turn-offs and dislikes.","Y=Yes,M=Maybe,N=No","{""category"":""truth_topics"",""topic"":""turn_offs""}"
B33,Truth Topics,chooseYMN,"Insecurities or vulnerabilities about intimacy.","Y=Yes,M=Maybe,N=No","{""category"":""truth_topics"",""topic"":""insecurities"",""facet"":""ROMANTIC""}"
B34,Truth Topics,chooseYMN,"Boundaries and limits.","Y=Yes,M=Maybe,N=No","{""category"":""truth_topics"",""topic"":""boundaries""}"
B35,Truth Topics,chooseYMN,"Fantasies about the future with my partner.","Y=Yes,M=Maybe,N=No","{""category"":""truth_topics"",""topic"":""future_fantasies"",""facet"":""ROMANTIC""}"
B36,Truth Topics,chooseYMN,"What makes me feel most desired or wanted.","Y=Yes,M=Maybe,N=No","{""category"":""truth_topics"",""topic"":""feeling_desired"",""facet"":""ROMANTIC""}"
C1,Boundaries & Safety,checklist,"Select ANY of the following that are hard boundaries (absolutely not interested).","Check all that apply","{""boundary"":""hard_limits"",""options"":[""impact_play"",""restraints_bondage"",""breath_play"",""degradation_humiliation"",""public_activities"",""recording"",""roleplay"",""multi_partner"",""toys_props"",""anal_activities"",""watersports"",""other""]}"
C2,Boundaries & Safety,text,"Any other specific activities, scenarios, topics, or contexts you want to ensure are avoided?","Free text","{""boundary"":""additional_notes""}"
