ID,Title,Category / Epic,Priority / MoSCoW,Status,Owner,Product Requirement Link,Description,Acceptance Criteria,Dependencies,Non-Functional Needs,Error / Edge Cases,Technical Notes,Data / Fields,Platform / Scope,Testing Notes
FR-11,Personalized ToD Activity Generation,Truth or Dare Game,Must Have,To Do,Developer,PR-12,The system shall use an AI integration to generate personalized Truth or Dare activities based on the players' intimacy profiles and the selected intimacy level.,"Given a ToD game is in progress, when a new activity is requested, then the system generates an activity that is appropriate for the players' profiles and the game's intimacy level.",AI integration for activity generation,,The AI service is unavailable.,Algorithm for activity personalization,"player_profiles, intimacy_level","iOS, Android",Test the relevance and variety of the generated activities; Test error handling for AI service unavailability.
FR-12,Intimacy Level Filtering,Truth or Dare Game,Must Have,To Do,Developer,PR-13,"The system shall filter Truth or Dare activities based on the selected intimacy level (Platonic, Exploring, Intimate).","Given a game has a specific intimacy level set, when a new activity is generated, then the activity conforms to the rules of that intimacy level (e.g., no erotic content for Platonic).",,,,,intimacy_level,"iOS, Android",Test that the activities generated for each intimacy level are appropriate.
FR-13,Skip Activity Function,Truth or Dare Game,Must Have,To Do,Developer,PR-14,The system shall allow a player to skip a Truth or Dare activity and receive a new activity of the same type.,"Given a player is presented with a Truth activity, when they skip it, then a new Truth activity is presented. Given a player is presented with a Dare activity, when they skip it, then a new Dare activity is presented.",,,,,,"iOS, Android",Test that the skip function works and that a new activity is generated.
FR-14,Profile Sharing,Profile & Partner Interaction,Must Have,To Do,Developer,PR-15,The system shall allow a user to share their intimacy profile with another user.,"Given a user wants to share their profile, when they select a partner to share with, then the partner receives a notification and can view the user's profile.",,,Partner does not have the app installed.,,"user_id, partner_user_id","iOS, Android",Test the profile sharing flow.
FR-15,Profile Overlap Visualization,Profile & Partner Interaction,Must Have,To Do,Developer,PR-16,The system shall display a visualization of the overlap and conflicts between two users' intimacy profiles.,"Given two users have shared their profiles, when they view their compatibility, then a visual representation of their profile similarities and differences is displayed.",,,,,"user1_profile, user2_profile","iOS, Android",Test the accuracy and clarity of the overlap visualization.
FR-16,Random Participant Selection,Truth or Dare Game,Must Have,To Do,Developer,PR-18,The system shall randomly select a participant using a spinner animation when requested.,"Given multiple participants are in a game, when the spinner is activated, then a random participant is selected with equal probability.",,,Only one participant in the game.,Random number generator,participant_ids,"iOS, Android",Test randomness and equal probability distribution across multiple spins.
FR-17,Random Truth or Dare Selection,Truth or Dare Game,Must Have,To Do,Developer,PR-19,The system shall randomly select between Truth or Dare using a spinner animation when requested.,"Given a participant has been selected, when the ToD spinner is activated, then either Truth or Dare is randomly selected.",,,,Random number generator,,"iOS, Android",Test randomness of Truth vs Dare selection.
FR-18,Explicit Truth or Dare Choice,Truth or Dare Game,Must Have,To Do,Developer,PR-19,The system shall allow a participant to explicitly choose Truth or Dare instead of spinning.,"Given a participant has been selected, when they choose to manually select Truth or Dare, then the system accepts their choice.",,,,,,"iOS, Android",Test that both Truth and Dare can be explicitly selected.
FR-19,Comfort Level Overlap Calculation,Truth or Dare Game,Must Have,To Do,Developer,PR-20,The system shall calculate the overlapping comfort levels of all participants in a game session.,"Given multiple participants with different comfort levels, when a game starts, then the system determines the most restrictive common comfort level.",,,Participants have no overlapping comfort zones.,Algorithm for comfort level intersection,participant_comfort_levels,"iOS, Android",Test with various combinations of participant comfort levels.
FR-20,Anonymous User Comfort Level Application,Truth or Dare Game,Must Have,To Do,Developer,PR-21,The system shall limit ToD content to the signed-in user's comfort level when playing with an anonymous user.,"Given a user is playing with an anonymous opponent, when activities are generated, then they respect only the signed-in user's comfort level.",,,,,user_comfort_level,"iOS, Android",Test that anonymous games respect the user's boundaries.
FR-21,Intimacy Level G Rules,Truth or Dare Game,Must Have,To Do,Developer,PR-13,The system shall ensure that Intimacy Level G (Platonic) does not include any erotic or sexual activities.,"Given a game is set to Intimacy Level G, when activities are generated, then no erotic or sexual content is included.",,,,Content filtering rules,intimacy_level,"iOS, Android",Test that G-rated activities are appropriate for platonic relationships.
FR-22,Intimacy Level R Rules (Soft and Hard Limits),Truth or Dare Game,Must Have,To Do,Developer,PR-13,The system shall ensure that Intimacy Level R (Exploring) respects both soft and hard limits.,"Given a game is set to Intimacy Level R, when activities are generated, then they respect participants' soft and hard boundaries.",FR-07 (boundaries),,,Content filtering rules,"intimacy_level, soft_limits","iOS, Android",Test that R-rated activities respect soft boundaries.
FR-23,Intimacy Level X Rules,Truth or Dare Game,Must Have,To Do,Developer,PR-13,The system shall ensure that Intimacy Level X (Intimate) respects hard limits.,"Given a game is set to Intimacy Level X, when activities are generated, then they respect participants' hard boundaries.",FR-07 (boundaries),,,Content filtering rules,"intimacy_level, hard_limits","iOS, Android",Test that X-rated activities respect hard boundaries.
FR-24,Free Tier Feature Access,Subscription & Monetization,Must Have,To Do,Developer,PR-22,"The system shall allow free users to access survey, profile view, and anonymous play features.","Given a user has a free account, when they access the app, then they can take the survey, view their profile, and play with anonymous users.",,,,,user_subscription_tier,"iOS, Android",Test that free users can access specified features.
FR-25,Daily Activity Limit Enforcement,Subscription & Monetization,Must Have,To Do,Developer,PR-24,The system shall limit free users to X activities per day.,"Given a free user has reached their daily activity limit, when they attempt another activity, then they are blocked and shown an upgrade prompt.",,,,"Activity counter, reset logic","user_id, activity_count, last_reset_date","iOS, Android",Test that the daily limit is enforced and resets properly.
FR-26,Subscription Validation,Subscription & Monetization,Must Have,To Do,Developer,PR-23,The system shall validate a user's subscription status and grant full access to subscribed users.,"Given a user has an active subscription, when they access the app, then all features are available without limitations.",App Store/Play Store subscription APIs,,Subscription expires; Subscription payment fails.,Integration with app store subscription services,"user_id, subscription_status, subscription_expiry","iOS, Android",Test subscription validation and feature access; Test handling of expired subscriptions.
FR-27,Upgrade Prompt Display,Subscription & Monetization,Must Have,To Do,Developer,PR-24,The system shall display an upgrade prompt when free users reach their daily limit or attempt to access premium features.,"Given a free user encounters a limitation, when the limitation is triggered, then an upgrade prompt with subscription options is displayed.",,,,,"subscription_tiers, pricing","iOS, Android",Test that upgrade prompts appear at appropriate times.
FR-28,AI Activity Generation,Content Management,Must Have,To Do,Developer,PR-25,The system shall use an AI integration to generate Truth or Dare activities dynamically.,"Given a game requires a new activity, when the system requests one, then the AI generates an appropriate activity based on context.","AI API integration (e.g., OpenAI)",,AI generation process should be transparent to the user; they should experience seamless activity delivery.,"API keys, content moderation","participant_profiles, intimacy_level, activity_type","iOS, Android",Test AI activity generation quality and appropriateness; Test fallback for AI unavailability.
FR-29,Reference Content Integration,Content Management,Must Have,To Do,Developer,PR-26,"The system shall incorporate provided reference materials (surveys, Kama Sutra, etc.) into the AI's activity generation prompts.","Given reference content is available, when the AI generates activities, then the activities reflect themes and concepts from the reference materials.",FR-28,,,Reference content database,reference_materials,"iOS, Android",Test that generated activities align with reference content.
FR-30,Activity Tracking,Content Management,Must Have,To Do,Developer,PR-27,The system shall track all activities presented to each user to prevent repetition.,"Given a user is presented with an activity, when the activity is shown, then it is logged in the user's activity history.",,,,Database for activity history,"user_id, activity_id, timestamp","iOS, Android",Test that activities are logged correctly.
FR-31,No-Repeat Logic,Content Management,Must Have,To Do,Developer,PR-27,"The system shall not repeat activities for the same user within the first year or 100 activities, whichever comes first.","Given a user has seen an activity, when new activities are generated, then previously seen activities are excluded until the threshold is met.",FR-30,,User has seen all available activities.,Activity history query logic,user_activity_history,"iOS, Android",Test that activities are not repeated within the specified threshold.
FR-32,Random Activity Selection,Content Management,Must Have,To Do,Developer,PR-25,The system shall randomly select activities from the pool of appropriate activities.,"Given multiple appropriate activities are available, when an activity is needed, then one is randomly selected.",,,,Random selection algorithm,available_activities,"iOS, Android",Test randomness of activity selection.
FR-33,Edit Survey Responses,User Onboarding & Profile Management,P2,To Do,Developer,PR-06,The system shall allow users to edit their survey responses and regenerate their intimacy profile.,"Given a user wants to update their profile, when they edit survey responses and submit, then their profile is regenerated with the new data.","FR-06, FR-07",,,,"user_id, updated_survey_answers","iOS, Android",Test that profile updates reflect edited responses.
FR-34,Automatic Boundary Inference from Survey,User Onboarding & Profile Management,P2,To Do,Developer,PR-07,"The system shall automatically infer and set boundaries based on survey responses: Disagree/Strongly Disagree = hard boundary, Neutral/Unsure = soft boundary.","Given a user completes the survey, when responses are processed, then boundaries are automatically set based on response values and saved to the user profile.",,,,,"user_id, hard_limits, soft_limits","iOS, Android",Test that boundaries can be set and saved correctly.
FR-35,Multi-Device Game Session,Truth or Dare Game,P2,To Do,Developer,PR-10,The system shall allow users to connect and play Truth or Dare across multiple devices.,"Given two users want to play on separate devices, when they connect, then a synchronized game session is created.",Real-time synchronization,,Network connectivity issues; Devices go out of sync.,WebSocket or similar real-time communication,"game_session_id, device_ids","iOS, Android",Test multi-device synchronization and error handling.
FR-36,Group Game (3+ Players),Truth or Dare Game,P2,To Do,Developer,PR-11,The system shall support Truth or Dare games with 3 or more players.,"Given 3 or more users want to play together, when they create a group game, then all participants are included in the session.",FR-16 (participant selection),,One participant disconnects.,,"game_session_id, participant_ids","iOS, Android",Test group game creation and participant management.
FR-37,Activity Feedback Collection,Truth or Dare Game,P2,To Do,Developer,PR-17,"The system shall allow users to provide feedback on each activity (like/dislike, executed/not executed).","Given a user completes or skips an activity, when they provide feedback, then the feedback is saved and used to improve future recommendations.",,,,Feedback database,"user_id, activity_id, feedback_type, feedback_value","iOS, Android",Test that feedback is captured and stored correctly.
FR-38,AI Learning from Feedback,Truth or Dare Game,P2,To Do,Developer,PR-17,The system shall use user feedback to improve future activity recommendations.,"Given a user has provided feedback on activities, when new activities are generated, then the AI considers the feedback to personalize recommendations.","FR-37, FR-28",,,Machine learning model for feedback incorporation,user_feedback_history,"iOS, Android",Test that recommendations improve based on feedback.
FR-39,Theme Diversity Filter,Content Management,Must Have,To Do,Developer,PR-28,The system shall ensure that activities within a single game session cover diverse themes and avoid repetitive topics.,"Given a game session is active, when activities are generated, then no more than 2 consecutive activities share the same primary theme.","FR-28 (AI generation), FR-30 (activity tracking)",,Limited activity pool for selected filters.,Theme categorization algorithm,"activity_themes, session_activity_history","iOS, Android",Test that consecutive activities have different themes.
FR-40,Novelty Introduction Logic,Content Management,Must Have,To Do,Developer,PR-29,The system shall gradually introduce new topics and activity types to users over time based on their engagement history.,"Given a user has completed multiple sessions, when new activities are generated, then the system includes a mix of familiar and new topics weighted toward gradual exploration.","FR-28 (AI generation), FR-30 (activity tracking)",,User has explored all available topics.,Novelty scoring algorithm based on user history,"user_activity_history, topic_familiarity_scores","iOS, Android",Test that new topics are introduced at an appropriate rate.
FR-41,Content Appropriateness Validation,Content Management,Must Have,To Do,Developer,PR-30,The system shall validate that all generated activities are appropriate for the selected intimacy level and respect all participant boundaries.,"Given an activity is generated, when it is validated, then it must pass all boundary checks and intimacy level requirements before being presented to users.","FR-12 (intimacy level filtering), FR-19 (comfort level overlap), FR-21/22/23 (level rules)",,AI generates content that violates boundaries; validation service fails.,"Multi-layer validation: AI prompt engineering, post-generation filtering, content moderation","activity_content, boundaries, intimacy_level","iOS, Android",Test with boundary-violating content; Test with inappropriate level content; Test validation failure handling.
FR-42,Skip Nudge Detection,Truth or Dare Game,Must Have,To Do,Developer,PR-31,The system shall detect when a user has skipped 3 consecutive activities and trigger a nudge.,"Given a user skips an activity, when the skip count reaches 3 consecutive skips, then a helpful nudge is displayed suggesting to lower the intimacy level or review boundaries.",FR-13 (skip function),,,Skip counter per session,session_skip_count,"iOS, Android",Test that nudge appears after exactly 3 consecutive skips; Test that counter resets after completing an activity.
FR-43,Skip Nudge Content,Truth or Dare Game,Must Have,To Do,Developer,PR-31,The system shall display a nudge message offering options to lower intimacy level or review boundaries when 3 consecutive skips occur.,"Given the skip nudge is triggered, when displayed to the user, then it offers actionable options: lower intimacy level, review boundaries, or continue playing.",FR-42 (skip detection),,,Nudge copy and UI design,"nudge_message, action_options","iOS, Android",Test that all nudge options are functional and lead to appropriate actions.
FR-44,Profile Visualization Rendering,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-32,"The system shall render the user's intimacy profile results in a visual format including charts, tags, and archetype labels.","Given a user views their profile results, when the page loads, then visual elements (radar chart or similar) display their intimacy dimensions with clear labels and explanations.",FR-07 (profile generation),,Chart rendering fails; data incomplete.,Chart library for mobile platforms,"profile_dimensions, scores, archetypes","iOS, Android",Test chart rendering with various profile data; Test accessibility of visual elements.
FR-45,Profile Results Call-to-Action,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-32,"The system shall display a clear call-to-action (CTA) after the user views their profile results, encouraging them to start playing.","Given a user has viewed their profile results, when the visualization is complete, then a prominent CTA button is displayed inviting them to start their first game.",FR-44 (visualization),,,,"cta_button_text, cta_destination","iOS, Android",Test that CTA is visible and functional; Test that CTA leads to game setup.
FR-46,Anonymous App Access,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-05,"The system shall allow users to access the app without registration, storing their profile locally and sending it anonymously to the server for gameplay.","Given a user opens the app, when they choose anonymous mode, then they can complete the survey and play games without creating an account, with profile data stored locally and sent anonymously to server for game functionality.",,"Local storage, anonymous server communication",Local data loss; server sync issues.,"Local storage mechanism, anonymous user ID generation","anonymous_user_id, local_profile_data","iOS, Android",Test anonymous profile creation and gameplay; Test server communication without account.
FR-47,Anonymous Partner Information Entry,Truth or Dare Game,Must Have,To Do,Developer,PR-08,The system shall allow the primary user to enter name and demographic information for an anonymous partner who will play without logging in.,"Given a user wants to play with an anonymous partner, when they set up the game, then they can enter the partner's name and demographic details which are used for the session only and not saved.",,,User skips entering partner info.,,"partner_name, partner_demographics (session-only)","iOS, Android",Test that partner info is captured and used in session; Test that info is not persisted after session.
FR-48,Survey Flexibility Selection,User Onboarding & Profile Management,P2,To Do,Developer,PR-33,"The system shall present users with options to skip the survey, take a condensed version (10 questions), or take the full survey, with full survey as the default flow.","Given a user reaches the survey start screen, when the screen loads, then three options are displayed (Skip, Condensed, Full) with Full as the recommended/default option.","FR-05, FR-06",,User selection not saved if they exit.,Condensed survey question selection algorithm,survey_type_selected,"iOS, Android",Test all three survey paths; Test that default guides to full survey.
FR-49,Activity Countdown Display,Subscription & Monetization,Must Have,To Do,Developer,PR-34,The system shall display a countdown of remaining activities for free users during gameplay.,"Given a free user is playing a game, when an activity is completed or skipped, then the remaining activity count is updated and displayed in the game interface.",FR-25 (daily limit enforcement),,Counter display fails; counter desyncs from server.,,activities_remaining,"iOS, Android",Test that countdown updates correctly; Test that it's only visible to free users.
FR-50,Truth Activity Definition,Truth or Dare Game,Must Have,To Do,Developer,PR-35,The system shall generate Truth activities that require the player to answer a question.,"Given a Truth activity is selected, when the activity is presented, then it contains a question that the player must answer verbally or in writing.",FR-11 (AI generation),,,Truth activity templates and question formats,"activity_type=truth, question_text","iOS, Android",Test that Truth activities are always questions.
FR-51,Dare Activity Definition,Truth or Dare Game,Must Have,To Do,Developer,PR-35,The system shall generate Dare activities that require the player to complete a physical action.,"Given a Dare activity is selected, when the activity is presented, then it contains instructions for a physical action that the player must perform.",FR-11 (AI generation),,,Dare activity templates and action formats,"activity_type=dare, action_text","iOS, Android",Test that Dare activities are always physical actions.
FR-52,Random Truth/Dare Selection,Truth or Dare Game,Must Have,To Do,Developer,PR-35,The system shall randomly select between Truth and Dare activities with approximately 50/50 distribution over time.,"Given multiple activities are requested, when the system selects activity types, then Truth and Dare are selected with equal probability, resulting in approximately 50/50 distribution over many activities.",FR-17 (ToD selection),,,Random selection algorithm,activity_type,"iOS, Android",Test that Truth/Dare distribution approaches 50/50 over 100+ activities.
FR-53,Intimate Mode Soft Boundary Handling,Truth or Dare Game,Must Have,To Do,Developer,PR-20,The system shall allow soft boundary topics to be offered in Intimate mode (X) while excluding only hard boundary topics.,"Given a game is set to Intimacy Level X, when activities are generated, then soft boundary topics may be included but hard boundary topics are excluded.","FR-23 (Intimacy X rules), FR-34 (boundaries)",,,Boundary filtering logic for Intimate mode,"intimacy_level, hard_limits, soft_limits","iOS, Android",Test that Intimate mode excludes only hard boundaries; Test that soft boundaries are allowed.
FR-54,No-Repeat Threshold Enforcement,Content Management,Must Have,To Do,Developer,PR-27,The system shall enforce the no-repeat rule based on whichever threshold is reached first: 1 year or 100 activities.,"Given a user has seen an activity, when checking for repeats, then the activity is excluded until either 1 year has passed OR the user has completed 100 additional activities, whichever comes first.","FR-30 (activity tracking), FR-31 (no-repeat logic)",,Edge case: exactly at threshold.,Time-based and count-based threshold logic,"activity_timestamp, activity_count","iOS, Android",Test both thresholds; Test that first threshold reached allows repeat.
FR-55,Player 2 Email Entry,Profile & Partner Interaction,Must Have,To Do,Developer,PR-36,The system shall allow Player 1 to enter Player 2's email address to initiate a profile connection request.,"Given Player 1 enters a valid email address, when they submit the connection request, then Player 2 receives a push notification to confirm.",,Email validation,Invalid email format; Email not registered; Player 2 has notifications disabled.,Push notification service integration required,"email, connection_request_id, timestamp","iOS, Android",Test with valid/invalid emails; Test notification delivery
FR-56,Player 2 Connection Notification,Profile & Partner Interaction,Must Have,To Do,Developer,PR-37,The system shall send a push notification to Player 2's device when Player 1 requests to connect their profile.,"Given Player 1 sends a connection request, when the request is processed, then Player 2 receives a push notification with Player 1's name and options to Accept or Decline.",FR-55,Notification delivery within 5 seconds,Player 2 device offline; Notification permissions denied; Request expires after 5 minutes.,"FCM for Android, APNs for iOS","player1_name, connection_request_id, expiry_timestamp","iOS, Android",Test notification delivery; Test accept/decline actions; Test expiration
FR-57,Player 2 Connection Confirmation,Profile & Partner Interaction,Must Have,To Do,Developer,PR-37,The system shall allow Player 2 to accept or decline the connection request from their own device.,"Given Player 2 receives a connection notification, when they tap Accept, then their profile is temporarily connected to Player 1's game session and Player 1 is notified.",FR-56,Response confirmation within 2 seconds,Request expired; Player 1 canceled request; Network error during confirmation.,WebSocket or polling for real-time status updates,"connection_status, session_id, player2_profile_id","iOS, Android",Test accept flow; Test decline flow; Test timeout scenarios
FR-58,Connection Status Display,Profile & Partner Interaction,Must Have,To Do,Developer,PR-36,"The system shall display the connection request status to Player 1 (Waiting for confirmation, Accepted, Declined, Expired).","Given Player 1 has sent a connection request, when the status changes, then the UI updates to reflect the current status.",FR-55,Real-time status updates,Network disconnection during waiting; Status update delay.,"Loading states, timeout handling (5 min)","connection_status, status_message","iOS, Android",Test all status states; Test timeout behavior
FR-59,Remembered Partners Storage,Profile & Partner Interaction,Must Have,To Do,Developer,PR-38,The system shall store a list of up to 10 recent partners that Player 1 has successfully connected with.,"Given Player 1 successfully connects with Player 2, when the connection is established, then Player 2 is added to Player 1's remembered partners list (most recent first).",FR-57,Local storage encryption,List exceeds 10 partners (remove oldest); Storage failure.,"Store locally on device, encrypted","partner_name, partner_email, last_played_timestamp","iOS, Android",Test list limit; Test ordering; Test persistence
FR-60,Remembered Partners Display,Profile & Partner Interaction,Must Have,To Do,Developer,PR-38,The system shall display the list of remembered partners on the Player 2 setup screen with quick reconnect options.,"Given Player 1 has remembered partners, when they reach the Player 2 setup screen, then they see a list of recent partners with ""Connect"" buttons.",FR-59,,Empty list; Partner deleted their account.,"Show name, last played date",partner_list,"iOS, Android",Test with empty list; Test with full list; Test quick reconnect
FR-61,Remove Remembered Partner,Profile & Partner Interaction,Must Have,To Do,Developer,PR-39,The system shall allow Player 1 to remove a partner from their remembered partners list.,"Given Player 1 views their remembered partners, when they swipe left (iOS) or long-press (Android) and select Delete, then the partner is removed from the list.",FR-60,,Accidental deletion (confirmation dialog).,Platform-specific delete gestures,partner_id,"iOS, Android",Test delete gesture; Test confirmation; Test list update
FR-62,Profile Sharing Settings,Profile & Partner Interaction,Must Have,To Do,Developer,PR-40,"The system shall provide settings for users to control profile visibility: All responses, Overlapping responses only (Neutral or positive on Likert scale), No responses.","Given a user accesses profile settings, when they select a sharing preference, then that preference is saved and applied to all future connections.",,,"Default to ""Overlapping responses only"".","Likert scale: Neutral (3), Agree (4), Strongly Agree (5) are shared",sharing_preference,"iOS, Android",Test all three settings; Test default behavior
FR-63,Dual-Profile Activity Personalization,Truth or Dare Game,Must Have,To Do,Developer,PR-41,The system shall generate activities based on both Player 1 and Player 2 profiles when both are connected.,"Given both players have connected profiles, when an activity is generated, then it considers both players' survey responses, preferences, and boundaries.","FR-57, FR-28",Activity generation within 2 seconds,One player has incomplete survey; Conflicting boundaries.,AI prompt includes both profiles,"player1_profile, player2_profile, combined_preferences","iOS, Android",Test with both complete profiles; Test with one incomplete
FR-64,Receiving Player Boundary Check,Truth or Dare Game,Must Have,To Do,Developer,PR-42,The system shall enforce that activities only respect the receiving player's boundaries (the player who will receive the action).,"Given an activity is generated, when it involves one player doing something to another, then the activity only checks the receiving player's boundaries, not the giving player's boundaries.",FR-63,,Unclear which player is receiving; Bidirectional activities.,Activity metadata must specify giver/receiver roles,"activity_giver, activity_receiver, receiver_boundaries","iOS, Android",Test with asymmetric boundaries; Test role clarity
FR-65,Profile Re-authentication Prompt,Profile & Partner Interaction,Must Have,To Do,Developer,PR-43,"The system shall require Player 2 to re-authenticate via push notification confirmation for each new game session, even if they are a remembered partner.","Given Player 1 selects a remembered partner, when they initiate connection, then Player 2 receives a new confirmation notification.",FR-60,,Player 2 declines re-authentication.,"Session-based authentication, not persistent","session_id, auth_timestamp","iOS, Android",Test re-auth for remembered partners; Test decline scenario
FR-66,Display Own Profile Details,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-44,"The system shall display the user's complete intimacy profile including all 25 survey questions with their responses, profile visualization (radar chart/tags), and archetype description.","Given a user has completed the survey, when they tap ""View Details"", then they see all questions with their responses displayed in a scrollable view.",FR-06,"Fast loading, smooth scrolling",Incomplete survey; No responses saved.,Display questions in same order as survey,"survey_responses, profile_visualization, archetype","iOS, Android",Test with complete/incomplete surveys; Test scrolling performance
FR-67,Navigate to Edit Survey,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-45,"The system shall provide an ""Edit Responses"" link that navigates to the survey with all responses pre-populated and editable.","Given a user views their profile, when they tap ""Edit Responses"", then the survey opens with all previous responses pre-filled and user can modify any response.",FR-66,,Survey data not found.,Pre-populate form fields with saved responses,survey_responses,"iOS, Android",Test pre-population; Test saving edited responses
FR-68,Save Edited Survey Responses,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-45,The system shall save edited survey responses and regenerate the profile visualization and boundaries.,"Given a user edits survey responses, when they complete editing, then responses are saved, boundaries are recalculated, and profile visualization is updated.",FR-67,Save within 2 seconds,Network error during save; Partial responses.,Trigger boundary recalculation on save,"survey_responses, boundaries, profile_data","iOS, Android",Test save success; Test boundary updates; Test profile refresh
FR-69,Display Partner Profile - All Responses,Profile & Partner Interaction,Must Have,To Do,Developer,PR-46,"The system shall display Player 2's complete profile (all survey responses and visualization) when their sharing setting is ""All Responses"".","Given Player 2 shares all responses, when Player 1 views their profile, then all 25 questions with responses and visualization are displayed (read-only).","FR-62, FR-66",,Player 2 profile incomplete.,Same layout as own profile but read-only,"player2_survey_responses, player2_visualization","iOS, Android",Test display with complete profile; Verify read-only
FR-70,Display Partner Profile - Overlapping Only,Profile & Partner Interaction,Must Have,To Do,Developer,PR-46,"The system shall display only overlapping responses (where both players answered Neutral, Agree, or Strongly Agree) when Player 2's sharing setting is ""Overlapping Only"".","Given Player 2 shares overlapping only, when Player 1 views their profile, then only questions where both answered 3, 4, or 5 on Likert scale are shown.","FR-62, FR-66",,No overlapping responses; Player 1 incomplete survey.,Filter responses: show only where both >= 3 on Likert scale,"player1_responses, player2_responses, overlapping_questions","iOS, Android",Test with various overlap scenarios; Test with no overlap
